Scenario,Region,Sector,Set,Name,Description,Activity unit,Capacity unit,Type,Sub type,Primary commodity group,Time slice level,Vintage
NewTech_AGR_TUI,NI,OTH,.DMD.,ADCF-MoTP-Mob-Trac--H2R,Agriculture -:- Dairy Cattle Farming -:- Tractor Services -:- Tractor (Agricultural) -:- Green Hydrogen,PJ,GW,DMD,-,ADCF-MoTP-Mob-Trac--H2R_DEMO,ANNUAL,0.0
NewTech_AGR_KEA,NI,OTH,.DMD.,ADCF-MoTP-Mob-Uti--DSL,Agriculture -:- Dairy Cattle Farming -:- Farm Vehicle -:- Utility Vehicle (Agricultural) -:- Diesel,PJ,GW,DMD,-,ADCF-MoTP-Mob-Uti--DSL_DEMO,ANNUAL,0.0
NewTech_AGR_TUI,NI,OTH,.DMD.,ADCF-MoTP-Mob-Uti--DSL,Agriculture -:- Dairy Cattle Farming -:- Farm Vehicle -:- Utility Vehicle (Agricultural) -:- Diesel,PJ,GW,DMD,-,ADCF-MoTP-Mob-Uti--DSL_DEMO,ANNUAL,0.0
NewTech_AGR_KEA,NI,OTH,.DMD.,ADCF-MoTP-Mob-Uti--ELC,Agriculture -:- Dairy Cattle Farming -:- Farm Vehicle -:- Utility Vehicle (Agricultural) -:- Electricity,PJ,GW,DMD,-,ADCF-MoTP-Mob-Uti--ELC_DEMO,ANNUAL,0.0
NewTech_AGR_TUI,NI,OTH,.DMD.,ADCF-MoTP-Mob-Uti--ELC,Agriculture -:- Dairy Cattle Farming -:- Farm Vehicle -:- Utility Vehicle (Agricultural) -:- Electricity,PJ,GW,DMD,-,ADCF-MoTP-Mob-Uti--ELC_DEMO,ANNUAL,0.0
NewTech_AGR_KEA,NI,OTH,.DMD.,ADCF-MoTP-Mob-Uti--H2R,Agriculture -:- Dairy Cattle Farming -:- Farm Vehicle -:- Utility Vehicle (Agricultural) -:- Green Hydrogen,PJ,GW,DMD,-,ADCF-MoTP-Mob-Uti--H2R_DEMO,ANNUAL,0.0
NewTech_AGR_TUI,NI,OTH,.DMD.,ADCF-MoTP-Mob-Uti--H2R,Agriculture -:- Dairy Cattle Farming -:- Farm Vehicle -:- Utility Vehicle (Agricultural) -:- Green Hydrogen,PJ,GW,DMD,-,ADCF-MoTP-Mob-Uti--H2R_DEMO,ANNUAL,0.0
NewTech_AGR_KEA,NI,OTH,.DMD.,ADCF-MoTP-Stat-VPVSD-ELC,Agriculture -:- Dairy Cattle Farming -:- Milking Machine -:- Vacuum Pump with VSD -:- Electricity,PJ,GW,DMD,-,ADCF-MoTP-Stat-VPVSD-ELC_DEMO,ANNUAL,0.0
NewTech_AGR_TUI,NI,OTH,.DMD.,ADCF-MoTP-Stat-VPVSD-ELC,Agriculture -:- Dairy Cattle Farming -:- Milking Machine -:- Vacuum Pump with VSD -:- Electricity,PJ,GW,DMD,-,ADCF-MoTP-Stat-VPVSD-ELC_DEMO,ANNUAL,0.0
NewTech_AGR_KEA,NI,OTH,.DMD.,ADCF-MoTP-Stat-VacP-ELC,Agriculture -:- Dairy Cattle Farming -:- Milking Machine -:- Vacuum Pump -:- Electricity,PJ,GW,DMD,-,ADCF-MoTP-Stat-VacP-ELC_DEMO,ANNUAL,0.0
NewTech_AGR_TUI,NI,OTH,.DMD.,ADCF-MoTP-Stat-VacP-ELC,Agriculture -:- Dairy Cattle Farming -:- Milking Machine -:- Vacuum Pump -:- Electricity,PJ,GW,DMD,-,ADCF-MoTP-Stat-VacP-ELC_DEMO,ANNUAL,0.0
NewTech_AGR_KEA,NI,OTH,.DMD.,ADCF-PUMP--ELC,Agriculture -:- Dairy Cattle Farming -:- Pumping -:- Transfer Pump -:- Electricity,PJ,GW,DMD,-,ADCF-PUMP--ELC_DEMO,ANNUAL,0.0
