Scenario,Region,Sector,Set,Name,Description,Unit,Type,Sub type,Lim type,Time slice level,Peak time slice
BASE,NI,OTH,.DEM.,C_WSR-MPS,"Commercial -:- Warehouses/Supermarkets/Retail -:-  -:- Motive Power, Stationary",PJ,DEM,,,,
BASE,NI,OTH,.DEM.,C_WSR-OTH,Commercial -:- Warehouses/Supermarkets/Retail -:-  -:- Electronics and Other Appliances,PJ,DEM,,,,
BASE,NI,OTH,.DEM.,C_WSR-RF,Commercial -:- Warehouses/Supermarkets/Retail -:-  -:- Refrigeration,PJ,DEM,,,,
BASE,NI,OTH,.DEM.,C_WSR-SC,Commercial -:- Warehouses/Supermarkets/Retail -:-  -:- Space Cooling,PJ,DEM,,,,
BASE,NI,OTH,.DEM.,C_WSR-SH,Commercial -:- Warehouses/Supermarkets/Retail -:-  -:- Space Heating,PJ,DEM,,,,
BASE,NI,OTH,.DEM.,C_WSR-WH,Commercial -:- Warehouses/Supermarkets/Retail -:-  -:- Water Heating,PJ,DEM,,,,
BASE,NI,OTH,.DEM.,R_JDW-MPS,"Residential -:- Joined Dwellings -:-  -:- Motive Power, Stationary",PJ,DEM,,,,
BASE,NI,OTH,.DEM.,R_JDW-OTH,Residential -:- Joined Dwellings -:-  -:- Electronics and Other Appliances,PJ,DEM,,,,
BASE,NI,OTH,.DEM.,R_JDW-RF,Residential -:- Joined Dwellings -:-  -:- Refrigeration,PJ,DEM,,,,
BASE,NI,OTH,.DEM.,R_JDW-SC,Residential -:- Joined Dwellings -:-  -:- Space Cooling,PJ,DEM,,,,
BASE,NI,OTH,.DEM.,R_JDW-SH,Residential -:- Joined Dwellings -:-  -:- Space Heating,PJ,DEM,,,,
BASE,NI,OTH,.DEM.,R_JDW-UNAL,Residential -:- Joined Dwellings -:-  -:- Unallocated,PJ,DEM,,,,
BASE,NI,OTH,.DEM.,R_JDW-WH,Residential -:- Joined Dwellings -:-  -:- Water Heating,PJ,DEM,,,,
BASE,NI,PRI,.NRG.,AGRH2R,Agriculture -:-  -:-  -:- Hydrogen,PJ,NRG,,FX,DAYNITE,
BASE,NI,PRI,.NRG.,AGRWST,"Primary Fuel Supply -:- Biomass/Biofuels -:- Agricultural wastes (straws, stover, vegetable culls) -:-",PJ,NRG,,FX,,
BASE,NI,PRI,.NRG.,ANMMNR,Primary Fuel Supply -:- Biomass/Biofuels -:- Animal manure -:-,PJ,NRG,,FX,,
BASE,NI,PRI,.NRG.,BDSL,Primary Fuel Supply -:- Biomass/Biofuels -:- Biodiesel -:-,PJ,NRG,,FX,,
BASE,NI,PRI,.NRG.,BIG,Primary Fuel Supply -:- Renewables -:- Biogas -:-,PJ,NRG,,FX,DAYNITE,
BASE,NI,PRI,.NRG.,BIL,Primary Fuel Supply -:- Renewables -:- Bioliquid -:-,PJ,NRG,,FX,DAYNITE,
BASE,NI,PRI,.NRG.,COA,Primary Fuel Supply -:-  -:- Coal Bituminous -:-,PJ,NRG,,,ANNUAL,
BASE,NI,PRI,.NRG.,COL,Primary Fuel Supply -:-  -:- Coal Lignite -:-,PJ,NRG,,,ANNUAL,
BASE,NI,PRI,.ENV.,COMCO2,COMCO2,kt,ENV,,,,
BASE,NI,PRI,.NRG.,COMH2R,Commercial -:-  -:-  -:- Hydrogen,PJ,NRG,,FX,DAYNITE,
BASE,NI,PRI,.NRG.,COseq,Primary Fuel Supply -:- Hydrogen -:-  -:- CO2 to CCS,kt,NRG,,,,
BASE,NI,OTH,.ENV.,RESCO2,Residential -:-  -:-  -:-,kt,ENV,,,,
BASE,NI,OTH,.NRG.,RESCOA,Residential -:-  -:- Coal -:-,PJ,NRG,,FX,,
BASE,NI,OTH,.NRG.,RESDSL,Residential -:-  -:- Diesel -:-,PJ,NRG,,FX,,
BASE,NI,OTH,.NRG.,RESGEO,Residential -:-  -:- Geothermal -:-,PJ,NRG,,FX,,
BASE,NI,OTH,.NRG.,RESLPG,Residential -:-  -:- LPG -:-,PJ,NRG,,FX,,
BASE,NI,OTH,.NRG.,RESNGA,Residential -:-  -:- Natural Gas -:-,PJ,NRG,,FX,,
BASE,NI,OTH,.NRG.,RESPET,Residential -:-  -:- Petrol -:-,PJ,NRG,,FX,,
BASE,NI,OTH,.NRG.,RESSOL,Residential -:-  -:- Solar -:-,PJ,NRG,,FX,,
BASE,NI,OTH,.NRG.,RESWOD,Residential -:-  -:- Wood -:-,PJ,NRG,,FX,,
BASE,NI,OTH,.DEM.,R_DDW-CD,Residential -:- Detached Dwellings -:-  -:- Clothes Drying,PJ,DEM,,,,
BASE,NI,OTH,.DEM.,R_DDW-CK,Residential -:- Detached Dwellings -:-  -:- Cooking,PJ,DEM,,,,
BASE,NI,PRI,.NRG.,DAC_CO2,Primary Fuel Supply -:- Hydrogen -:-  -:- CO2 from air,kt,NRG,,,,
BASE,NI,PRI,.NRG.,DID,Primary Fuel Supply -:- Biomass/Biofuels -:- Drop-in diesel -:-,PJ,NRG,,FX,,
BASE,NI,PRI,.NRG.,DIJ,Primary Fuel Supply -:- Biomass/Biofuels -:- Drop-in jet -:-,PJ,NRG,,FX,,
BASE,NI,PRI,.NRG.,DSL,Primary Fuel Supply -:- Petroleum -:- Petrol -:-,PJ,NRG,,,,
BASE,NI,PRI,.ENV.,ELCCO2,ELCCO2,kt,ENV,,,,
BASE,NI,PRI,.NRG.,ELCH2R,Electricity Production -:-  -:-  -:- Hydrogen,PJ,NRG,,FX,DAYNITE,
BASE,NI,PRI,.NRG.,ELCNGA,Primary Fuel Supply -:- Hydrogen -:-  -:- Hydrogen and natural gas mix (ELC sector),PJ,NRG,,FX,DAYNITE,
BASE,NI,PRI,.NRG.,FOL,Primary Fuel Supply -:- Petroleum -:- Diesel -:-,PJ,NRG,,,,
BASE,NI,PRI,.ENV.,GASCO2,Primary Fuel Supply -:- Natural Gas -:-  -:-,kt,ENV,,,,
BASE,NI,PRI,.NRG.,GEO,Primary Fuel Supply -:- Renewables -:- Geothermal -:-,PJ,NRG,,FX,DAYNITE,
BASE,NI,PRI,.NRG.,H2C,Primary Fuel Supply -:- Hydrogen -:-  -:- Centralised Hydrogen,PJ,NRG,,FX,DAYNITE,
BASE,NI,PRI,.NRG.,H2D,Primary Fuel Supply -:- Hydrogen -:-  -:- Decentralised Hydrogen,PJ,NRG,,FX,DAYNITE,
BASE,NI,PRI,.NRG.,H2R,Primary Fuel Supply -:- Hydrogen -:-  -:- Renewable Hydrogen,PJ,NRG,,FX,DAYNITE,
BASE,NI,PRI,.NRG.,HYD,Primary Fuel Supply -:- Renewables -:- Hydro -:-,PJ,NRG,,FX,DAYNITE,
BASE,NI,PRI,.ENV.,INDCO2,INDCO2,kt,ENV,,,,
BASE,NI,PRI,.NRG.,INDH2R,Industrial -:-  -:-  -:- Hydrogen,PJ,NRG,,FX,DAYNITE,
BASE,NI,PRI,.NRG.,INDOSWOD,Primary Fuel Supply -:- Biomass/Biofuels -:- On Site Wood -:-,PJ,NRG,,FX,,
BASE,NI,PRI,.NRG.,JET,Primary Fuel Supply -:- Petroleum -:- Fuel Oil -:-,PJ,NRG,,,,
BASE,NI,PRI,.NRG.,LNG,Primary Fuel Supply -:- Natural Gas -:- LNG -:-,PJ,NRG,,,,
BASE,NI,PRI,.NRG.,LPG,Primary Fuel Supply -:- Petroleum -:- Crude Oil (imported) -:-,PJ,NRG,,,,
BASE,NI,PRI,.NRG.,MNCWST,Primary Fuel Supply -:- Biomass/Biofuels -:- Municipal solid waste -:-,PJ,NRG,,FX,,
BASE,NI,PRI,.NRG.,NGA,Primary Fuel Supply -:- Natural Gas -:- Natural Gas -:-,PJ,NRG,,,,
BASE,SI,IND,.DEM.,CHMCL-PH-STM_HW,"Industry -:- Petroleum, Basic Chemical and Rubber Product Manufacturing -:-  -:- Process Heat Steam/Hot Water",PJ,DEM,,,DAYNITE,
BASE,SI,IND,.DEM.,CNST-MoTP-Mob,"Industry -:- Construction -:-  -:- Motive Power, Mobile",PJ,DEM,,,DAYNITE,
BASE,NI,OTH,.DEM.,R_DDW-CW,Residential -:- Detached Dwellings -:-  -:- Clothes Washing,PJ,DEM,,,,
BASE,NI,OTH,.DEM.,R_DDW-DW,Residential -:- Detached Dwellings -:-  -:- Dishwashing,PJ,DEM,,,,
BASE,NI,OTH,.DEM.,R_DDW-LT,Residential -:- Detached Dwellings -:-  -:- Lighting,PJ,DEM,,,,
BASE,NI,OTH,.DEM.,R_DDW-MPM,"Residential -:- Detached Dwellings -:-  -:- Motive Power, Mobile",PJ,DEM,,,,
BASE,NI,OTH,.DEM.,R_DDW-MPS,"Residential -:- Detached Dwellings -:-  -:- Motive Power, Stationary",PJ,DEM,,,,
BASE,NI,OTH,.DEM.,R_DDW-OTH,Residential -:- Detached Dwellings -:-  -:- Electronics and Other Appliances,PJ,DEM,,,,
BASE,NI,OTH,.DEM.,R_DDW-RF,Residential -:- Detached Dwellings -:-  -:- Refrigeration,PJ,DEM,,,,
BASE,NI,OTH,.DEM.,R_DDW-SC,Residential -:- Detached Dwellings -:-  -:- Space Cooling,PJ,DEM,,,,
BASE,NI,OTH,.DEM.,R_DDW-SH,Residential -:- Detached Dwellings -:-  -:- Space Heating,PJ,DEM,,,,
BASE,NI,OTH,.DEM.,R_DDW-UNAL,Residential -:- Detached Dwellings -:-  -:- Unallocated,PJ,DEM,,,,
