Scenario,Island,Subsector,Fuel Code,Fuel,2015,2016,2018,2021,2025,2030,2035,2040,2045,2050,2055,2060
Kea,NI,WOOD PROCESSING,INDWOD,Wood,15.63823529,15.42321569,14.99317647,7.012708342,8.452333216,9.985663128,13.9254424,13.9333624,16.92058509,20.51612303,22.41851395,18.49951182
Kea,NI,WOOD PROCESSING,INDFOL,Fuel Oil,0.035294118,0,0.034823529,0,0,0,0,0,0,0,0,0
Kea,NI,WOOD PROCESSING,INDELC,Electricity,6.490075098,4.759312835,4.770595906,5.20074342,5.421994327,5.876779902,6.328614598,6.81533791,7.453093323,8.219843693,8.98219268,11.2714795
Kea,NI,WOOD PROCESSING,INDPET,Petrol,0,0,0,0,0,0,0,0,0,0,0,0
Kea,NI,WOOD PROCESSING,INDLPG,LPG,0,0,0,0,0,0,0,0,0,0,0,0
Kea,NI,WOOD PROCESSING,INDGEO,Geothermal,0.556629874,0.558072989,0.560959218,2.129325736,2.260875929,2.403455641,1.984169034,2.136726851,2.334866471,2.551364568,2.787942572,3.046466225
Kea,SI,CHEMICAL,COA,Coal Feedstock,0,0,0,0,0,0,0,0,0,0,0,0
Kea,SI,CHEMICAL,INDBIG,Biogas,0,0,0,0,0,0,0,0,0,0,0,0
Kea,SI,CHEMICAL,INDDSL,Diesel,0,0,0,0,0,0,0,0,0,0,0,0
Kea,SI,CHEMICAL,INDCOA,Coal,0,0,0,0,0,0,0,0,0,0,0,0
Kea,SI,CHEMICAL,INDNGA,Natural Gas,0,0,0,0,0,0,0,0,0,0,0,0
Kea,SI,CHEMICAL,NGA,Natural Gas Feedstock,0,0,0,0,0,0,0,0,0,0,0,0
Kea,SI,CHEMICAL,INDWOD,Wood,0,0,0,0,0,0,0,0,0,0,0,0
Kea,SI,CHEMICAL,INDFOL,Fuel Oil,0,0,0,0,0,0,0,0,0,0,0,0
Kea,SI,CHEMICAL,INDELC,Electricity,0,0,0,0,0,0,0,0,0,0,0,0
Kea,SI,CHEMICAL,INDPET,Petrol,0,0,0,0,0,0,0,0,0,0,0,0
Kea,SI,CHEMICAL,INDLPG,LPG,0,0,0,0,0,0,0,0,0,0,0,0
Kea,SI,CHEMICAL,INDGEO,Geothermal,0,0,0,0,0,0,0,0,0,0,0,0
Kea,SI,CONSTRUCTION,COA,Coal Feedstock,0,0,0,0,0,0,0,0,0,0,0,0
Kea,SI,CONSTRUCTION,INDBIG,Biogas,0,0,0,0,0,0,0,0,0,0,0,0
Kea,SI,CONSTRUCTION,INDDSL,Diesel,0,0,0,0,0,0,0,0,0,0,0,0
Kea,SI,CONSTRUCTION,INDCOA,Coal,0,0,0,0,0,0,0,0,0,0,0,0
Kea,SI,CONSTRUCTION,INDNGA,Natural Gas,0,0,0,0,0,0,0,0,0,0,0,0
Kea,SI,CONSTRUCTION,NGA,Natural Gas Feedstock,0,0,0,0,0,0,0,0,0,0,0,0
Kea,SI,CONSTRUCTION,INDWOD,Wood,0,0,0,0,0,0,0,0,0,0,0,0
Kea,SI,CONSTRUCTION,INDFOL,Fuel Oil,0,0,0,0,0,0,0,0,0,0,0,0
Kea,SI,CONSTRUCTION,INDELC,Electricity,0.222222222,0.222222222,0.222222222,0.236148148,0.212851852,0.219333333,0.236185185,0.254333333,0.277925926,0.303722222,0.331851852,0.362703704
Kea,SI,CONSTRUCTION,INDPET,Petrol,0,0,0,0,0,0,0,0,0,0,0,0
Kea,SI,CONSTRUCTION,INDLPG,LPG,0,0,0,0,0,0,0,0,0,0,0,0
Kea,SI,CONSTRUCTION,INDGEO,Geothermal,0,0,0,0,0,0,0,0,0,0,0,0
Kea,SI,DAIRY PRODUCTS,COA,Coal Feedstock,0,0,0,0,0,0,0,0,0,0,0,0
Kea,SI,DAIRY PRODUCTS,INDBIG,Biogas,0,0,0,0,0,0,0,0,0,0,0,0
Kea,SI,DAIRY PRODUCTS,INDDSL,Diesel,0.029411765,0.02945098,0.034705882,0.076514118,0,0.000459809,0,0,0,0,0,0
Kea,SI,DAIRY PRODUCTS,INDCOA,Coal,6.1875,6.1875,6.1875,5.994375,0.76896841,0,0,0,0,0,0,0
Kea,SI,DAIRY PRODUCTS,INDNGA,Natural Gas,0,0,0,0,0,0,0,0,0,0,0,0
Kea,SI,DAIRY PRODUCTS,NGA,Natural Gas Feedstock,0,0,0,0,0,0,0,0,0,0,0,0
Kea,SI,DAIRY PRODUCTS,INDWOD,Wood,0,0,0,0,4.508714203,5.038974544,5.508064235,5.931687765,6.473061294,6.89134615,6.929432118,7.507438706
Kea,SI,DAIRY PRODUCTS,INDFOL,Fuel Oil,0,0,0,0,0,0,0,0,0,0,0,0
Kea,SI,DAIRY PRODUCTS,INDELC,Electricity,1.044961906,1.044961906,1.044961906,1.037794189,1.01602725,0.978911217,1.054175882,1.135347903,1.242248581,1.395864104,1.651752215,1.818559582
Kea,SI,DAIRY PRODUCTS,INDPET,Petrol,0,0,0,0,0,0,0,0,0,0,0,0
Kea,SI,DAIRY PRODUCTS,INDLPG,LPG,0.116091954,0.115977011,0.110689655,0,0,0,0,0,0,0,0,0
