Scenario,Region,Sector,Set,Name,Description,Unit,Type,Sub type,Lim type,Time slice level,Peak time slice
BASE,SI,IND,.DEM.,PLPPPR-PH-DirH,-:- Process Heat Direct,PJ,DEM,,,DAYNITE,
BASE,SI,IND,.DEM.,PLPPPR-PH-FURN,-:- Process Heat Furnace,PJ,DEM,,,DAYNITE,
BASE,SI,IND,.DEM.,PLPPPR-PH-STM_HW,-:- Process Heat Steam/Hot Water,PJ,DEM,,,DAYNITE,
BASE,SI,IND,.DEM.,PLPPPR-Pump,-:- Pumping,PJ,DEM,,,DAYNITE,
BASE,SI,IND,.DEM.,PLPPPR-Refin,-:- Wood/Pulp and Paper Refining,PJ,DEM,,,DAYNITE,
BASE,SI,IND,.DEM.,REFI-MoTP-Stat,"-:- Motive Power, Stationary",PJ,DEM,,,DAYNITE,
BASE,SI,IND,.DEM.,REFI-PH-FURN,-:- Process Heat Furnace,PJ,DEM,,,DAYNITE,
BASE,SI,IND,.DEM.,REFI-PH-STM_HW,-:- Process Heat Steam/Hot Water,PJ,DEM,,,DAYNITE,
BASE,SI,IND,.DEM.,UREA-FDSTCK,-:- Feedstock,PJ,DEM,,,DAYNITE,
BASE,SI,IND,.DEM.,UREA-REFRM,-:- Process Heat Reformer,PJ,DEM,,,DAYNITE,
BASE,SI,IND,.DEM.,WOOD-AIR,-:- Compressed Air,PJ,DEM,,,DAYNITE,
BASE,SI,IND,.DEM.,WOOD-Fan,-:- Drying,PJ,DEM,,,DAYNITE,
BASE,SI,IND,.DEM.,WOOD-MoTP-Stat,"-:- Motive Power, Stationary",PJ,DEM,,,DAYNITE,
BASE,SI,IND,.DEM.,WOOD-PH-FURN,-:- Process Heat Furnace,PJ,DEM,,,DAYNITE,
BASE,SI,IND,.DEM.,WOOD-PH-STM_HW,-:- Process Heat Steam/Hot Water,PJ,DEM,,,DAYNITE,
BASE,SI,IND,.DEM.,WOOD-Pump,-:- Pumping,PJ,DEM,,,DAYNITE,
BASE,SI,IND,.DEM.,WOOD-Refin,-:- Wood/Pulp and Paper Refining,PJ,DEM,,,DAYNITE,
BASE,SI,OTH,.DEM.,ADCF-IRG,-:- Irrigation,PJ,DEM,,,,
BASE,SI,OTH,.DEM.,ADCF-LIG,-:- Lighting,PJ,DEM,,,,
BASE,SI,OTH,.DEM.,ADCF-MoTP-Mob-Bike,-:- Off-road Motorbike Use,PJ,DEM,,,,
BASE,SI,OTH,.DEM.,ADCF-MoTP-Mob-MTr,-:- Truck Services,PJ,DEM,,,,
BASE,SI,OTH,.DEM.,ADCF-MoTP-Mob-Trac,-:- Tractor Services,PJ,DEM,,,,
BASE,SI,OTH,.DEM.,ADCF-MoTP-Mob-Uti,-:- Farm Vehicle,PJ,DEM,,,,
